keyword,type,date,index
['东风汽车'],pc,2017-07-16,402
['东风汽车'],pc,2017-07-17,819
['东风汽车'],pc,2017-07-18,716
['东风汽车'],pc,2017-07-19,676
['东风汽车'],pc,2017-07-20,675
['东风汽车'],pc,2017-07-21,819
['东风汽车'],pc,2017-07-22,341
['东风汽车'],pc,2017-07-23,316
['东风汽车'],pc,2017-07-24,659
['东风汽车'],pc,2017-07-25,727
['东风汽车'],pc,2017-07-26,639
['东风汽车'],pc,2017-07-27,648
['东风汽车'],pc,2017-07-28,575
['东风汽车'],pc,2017-07-29,315
['东风汽车'],pc,2017-07-30,544
['东风汽车'],pc,2017-07-31,842
['东风汽车'],pc,2017-08-01,860
['东风汽车'],pc,2017-08-02,817
['东风汽车'],pc,2017-08-03,650
['东风汽车'],pc,2017-08-04,647
['东风汽车'],pc,2017-08-05,372
['东风汽车'],pc,2017-08-06,383
['东风汽车'],pc,2017-08-07,699
['东风汽车'],pc,2017-08-08,726
['东风汽车'],pc,2017-08-09,730
['东风汽车'],pc,2017-08-10,712
['东风汽车'],pc,2017-08-11,690
['东风汽车'],pc,2017-08-12,309
['东风汽车'],pc,2017-08-13,302
['东风汽车'],pc,2017-08-14,609
['东风汽车'],pc,2017-08-15,720
['东风汽车'],pc,2017-08-16,617
['东风汽车'],pc,2017-08-17,644
['东风汽车'],pc,2017-08-18,644
['东风汽车'],pc,2017-08-19,323
['东风汽车'],pc,2017-08-20,330
['东风汽车'],pc,2017-08-21,681
['东风汽车'],pc,2017-08-22,627
['东风汽车'],pc,2017-08-23,595
['东风汽车'],pc,2017-08-24,673
['东风汽车'],pc,2017-08-25,597
['东风汽车'],pc,2017-08-26,298
['东风汽车'],pc,2017-08-27,260
['东风汽车'],pc,2017-08-28,625
['东风汽车'],pc,2017-08-29,718
['东风汽车'],pc,2017-08-30,704
['东风汽车'],pc,2017-08-31,546
['东风汽车'],pc,2017-09-01,541
['东风汽车'],pc,2017-09-02,268
['东风汽车'],pc,2017-09-03,335
['东风汽车'],pc,2017-09-04,668
['东风汽车'],pc,2017-09-05,659
['东风汽车'],pc,2017-09-06,630
['东风汽车'],pc,2017-09-07,572
['东风汽车'],pc,2017-09-08,594
['东风汽车'],pc,2017-09-09,369
['东风汽车'],pc,2017-09-10,391
['东风汽车'],pc,2017-09-11,881
['东风汽车'],pc,2017-09-12,886
['东风汽车'],pc,2017-09-13,735
['东风汽车'],pc,2017-09-14,789
['东风汽车'],pc,2017-09-15,647
['东风汽车'],pc,2017-09-16,352
['东风汽车'],pc,2017-09-17,400
['东风汽车'],pc,2017-09-18,843
['东风汽车'],pc,2017-09-19,858
['东风汽车'],pc,2017-09-20,848
['东风汽车'],pc,2017-09-21,852
['东风汽车'],pc,2017-09-22,656
['东风汽车'],pc,2017-09-23,367
['东风汽车'],pc,2017-09-24,430
['东风汽车'],pc,2017-09-25,797
['东风汽车'],pc,2017-09-26,706
['东风汽车'],pc,2017-09-27,737
['东风汽车'],pc,2017-09-28,800
['东风汽车'],pc,2017-09-29,839
['东风汽车'],pc,2017-09-30,470
['东风汽车'],pc,2017-10-01,211
['东风汽车'],pc,2017-10-02,254
['东风汽车'],pc,2017-10-03,242
['东风汽车'],pc,2017-10-04,218
['东风汽车'],pc,2017-10-05,276
['东风汽车'],pc,2017-10-06,291
['东风汽车'],pc,2017-10-07,282
['东风汽车'],pc,2017-10-08,364
['东风汽车'],pc,2017-10-09,913
['东风汽车'],pc,2017-10-10,898
['东风汽车'],pc,2017-10-11,834
['东风汽车'],pc,2017-10-12,851
['东风汽车'],pc,2017-10-13,803
['东风汽车'],pc,2017-10-14,399
['东风汽车'],pc,2017-10-15,430
['东风汽车'],pc,2017-10-16,848
['东风汽车'],pc,2017-10-17,777
['东风汽车'],pc,2017-10-18,682
['东风汽车'],pc,2017-10-19,673
['东风汽车'],pc,2017-10-20,591
['东风汽车'],pc,2017-10-21,349
['东风汽车'],pc,2017-10-22,375
['东风汽车'],pc,2017-10-23,679
['东风汽车'],pc,2017-10-24,644
['东风汽车'],pc,2017-10-25,609
['东风汽车'],pc,2017-10-26,613
['东风汽车'],pc,2017-10-27,529
['东风汽车'],pc,2017-10-28,279
['东风汽车'],wise,2017-01-01,1040
['东风汽车'],wise,2017-01-02,1132
['东风汽车'],wise,2017-01-03,1337
['东风汽车'],wise,2017-01-04,1536
['东风汽车'],wise,2017-01-05,1481
['东风汽车'],wise,2017-01-06,1375
['东风汽车'],wise,2017-01-07,1143
['东风汽车'],wise,2017-01-08,1187
['东风汽车'],wise,2017-01-09,1271
['东风汽车'],wise,2017-01-10,1237
['东风汽车'],wise,2017-01-11,1227
['东风汽车'],wise,2017-01-12,1134
['东风汽车'],wise,2017-01-13,1172
['东风汽车'],wise,2017-01-14,991
['东风汽车'],wise,2017-01-15,998
['东风汽车'],wise,2017-01-16,1161
['东风汽车'],wise,2017-01-17,1155
['东风汽车'],wise,2017-01-18,1060
['东风汽车'],wise,2017-01-19,1023
['东风汽车'],wise,2017-01-20,1042
['东风汽车'],wise,2017-01-21,970
['东风汽车'],wise,2017-01-22,987
['东风汽车'],wise,2017-01-23,999
['东风汽车'],wise,2017-01-24,997
['东风汽车'],wise,2017-01-25,978
['东风汽车'],wise,2017-01-26,964
['东风汽车'],wise,2017-01-27,878
['东风汽车'],wise,2017-01-28,934
['东风汽车'],wise,2017-01-29,963
['东风汽车'],wise,2017-01-30,994
['东风汽车'],wise,2017-01-31,1090
['东风汽车'],wise,2017-02-01,1119
['东风汽车'],wise,2017-02-02,1179
['东风汽车'],wise,2017-02-03,1285
['东风汽车'],wise,2017-02-04,1287
['东风汽车'],wise,2017-02-05,1274
['东风汽车'],wise,2017-02-06,1382
['东风汽车'],wise,2017-02-07,1369
['东风汽车'],wise,2017-02-08,1313
['东风汽车'],wise,2017-02-09,1246
['东风汽车'],wise,2017-02-10,1168
['东风汽车'],wise,2017-02-11,1128
['东风汽车'],wise,2017-02-12,1049
['东风汽车'],wise,2017-02-13,1224
['东风汽车'],wise,2017-02-14,1263
['东风汽车'],wise,2017-02-15,1283
['东风汽车'],wise,2017-02-16,1248
